From,To,Count,Area_km2,Period
5,7,72,0.0648,2006-2007
5,8,8226,7.4034,2006-2007
5,12,1218,1.0962,2006-2007
5,13,460,0.414,2006-2007
5,20,1530,1.377,2006-2007
7,5,50,0.045,2006-2007
7,7,4727992,4255.1928,2006-2007
7,8,1903,1.7127,2006-2007
7,12,288,0.2592,2006-2007
7,13,566,0.5094,2006-2007
7,20,3299,2.9691,2006-2007
8,5,540,0.486,2006-2007
8,7,676,0.6084,2006-2007
8,8,22318315,20086.4835,2006-2007
8,9,32,0.0288,2006-2007
8,12,253,0.2277,2006-2007
8,13,12610,11.349,2006-2007
8,15,5,0.0045,2006-2007
8,20,40545,36.4905,2006-2007
9,5,3,0.0027,2006-2007
9,8,55,0.0495,2006-2007
9,9,162232,146.0088,2006-2007
9,13,72,0.0648,2006-2007
9,20,101,0.0909,2006-2007
11,11,2078,1.8702,2006-2007
12,5,7600,6.84,2006-2007
12,7,14984,13.4856,2006-2007
12,8,5800,5.22,2006-2007
12,12,14783029,13304.7261,2006-2007
12,13,3664,3.2976,2006-2007
12,20,147,0.1323,2006-2007
13,13,783592,705.2328,2006-2007
15,5,63,0.0567,2006-2007
15,7,136,0.1224,2006-2007
15,8,510,0.459,2006-2007
15,9,252,0.2268,2006-2007
15,12,415,0.3735,2006-2007
15,13,209,0.1881,2006-2007
15,15,39424167,35481.7503,2006-2007
15,20,237,0.2133,2006-2007
16,16,22194,19.9746,2006-2007
20,5,1776,1.5984,2006-2007
20,7,1071,0.9639,2006-2007
20,8,4293,3.8637,2006-2007
20,9,199,0.1791,2006-2007
20,12,194,0.1746,2006-2007
20,13,909,0.8181,2006-2007
20,15,3,0.0027,2006-2007
20,20,10994896,9895.4064,2006-2007
5,5,2414507,2173.0563,2007-2008
5,7,103,0.0927,2007-2008
5,8,18513,16.6617,2007-2008
5,12,4669,4.2021,2007-2008
5,13,368,0.3312,2007-2008
5,20,6676,6.0084,2007-2008
7,5,11,0.0099,2007-2008
7,7,4734905,4261.4145,2007-2008
7,8,2573,2.3157,2007-2008
7,12,734,0.6606,2007-2008
7,13,752,0.6768,2007-2008
7,20,5956,5.3604,2007-2008
8,5,942,0.8478,2007-2008
8,7,1316,1.1844,2007-2008
8,8,22234299,20010.8691,2007-2008
8,9,17,0.0153,2007-2008
8,12,305,0.2745,2007-2008
8,13,11352,10.2168,2007-2008
8,15,13,0.0117,2007-2008
8,20,90858,81.7722,2007-2008
9,5,1,0.0009,2007-2008
9,7,1,0.0009,2007-2008
9,8,42,0.0378,2007-2008
9,9,162503,146.2527,2007-2008
9,13,46,0.0414,2007-2008
9,15,17,0.0153,2007-2008
9,20,105,0.0945,2007-2008
11,11,2078,1.8702,2007-2008
12,5,6665,5.9985,2007-2008
12,7,9381,8.4429,2007-2008
12,8,4004,3.6036,2007-2008
12,9,4,0.0036,2007-2008
12,12,14762217,13285.9953,2007-2008
12,13,2775,2.4975,2007-2008
12,15,3,0.0027,2007-2008
12,20,348,0.3132,2007-2008
13,13,802082,721.8738,2007-2008
15,5,242,0.2178,2007-2008
15,7,237,0.2133,2007-2008
15,8,619,0.5571,2007-2008
15,9,422,0.3798,2007-2008
15,12,233,0.2097,2007-2008
15,13,183,0.1647,2007-2008
15,15,39421700,35479.53,2007-2008
15,20,539,0.4851,2007-2008
16,16,22194,19.9746,2007-2008
20,5,1024,0.9216,2007-2008
20,7,1382,1.2438,2007-2008
20,8,4799,4.3191,2007-2008
20,9,182,0.1638,2007-2008
20,12,90,0.081,2007-2008
20,13,922,0.8298,2007-2008
20,15,2,0.0018,2007-2008
20,20,11032354,9929.1186,2007-2008
5,5,2385957,2147.3613,2008-2009
5,7,122,0.1098,2008-2009
5,8,32187,28.9683,2008-2009
5,12,2069,1.8621,2008-2009
5,13,372,0.3348,2008-2009
5,15,19,0.0171,2008-2009
5,20,2666,2.3994,2008-2009
7,5,11,0.0099,2008-2009
7,7,4728284,4255.4556,2008-2009
7,8,15086,13.5774,2008-2009
7,9,2,0.0018,2008-2009
7,12,688,0.6192,2008-2009
7,13,429,0.3861,2008-2009
7,15,3,0.0027,2008-2009
7,20,2822,2.5398,2008-2009
8,5,312,0.2808,2008-2009
8,7,419,0.3771,2008-2009
8,8,22204650,19984.185,2008-2009
8,9,7,0.0063,2008-2009
8,12,423,0.3807,2008-2009
8,13,9703,8.7327,2008-2009
8,15,16,0.0144,2008-2009
8,20,49319,44.3871,2008-2009
9,8,1,0.0009,2008-2009
9,9,163002,146.7018,2008-2009
9,13,48,0.0432,2008-2009
9,20,77,0.0693,2008-2009
