From,To,Count,Area_km2,From_Label,To_Label,Period
5,16,11470,10.323,Shrubland,Permanent ice and snow,2001-2002
5,20,2814879,2533.3911,Shrubland,Forest,2001-2002
7,5,1630253,1467.2277,Grassland,Shrubland,2001-2002
7,7,540261548,486235.3932,Grassland,Grassland,2001-2002
7,8,12451587,11206.4283,Grassland,Cropland,2001-2002
7,9,189994,170.9946,Grassland,Wetland,2001-2002
7,11,26924,24.2316,Grassland,Lichens and Mosses,2001-2002
7,12,598950,539.055,Grassland,Bareland,2001-2002
7,13,782808,704.5272,Grassland,Built-up,2001-2002
7,15,4559,4.1031,Grassland,Water,2001-2002
7,16,669,0.6021,Grassland,Permanent ice and snow,2001-2002
7,20,1033173,929.8557,Grassland,Forest,2001-2002
8,5,5800567,5220.5103,Cropland,Shrubland,2001-2002
8,7,6900717,6210.6453,Cropland,Grassland,2001-2002
8,8,1903706653,1713335.9877,Cropland,Cropland,2001-2002
8,9,1031482,928.3338,Cropland,Wetland,2001-2002
8,11,35100,31.59,Cropland,Lichens and Mosses,2001-2002
8,12,509515,458.5635,Cropland,Bareland,2001-2002
8,13,6445026,5800.5234,Cropland,Built-up,2001-2002
8,15,48292,43.4628,Cropland,Water,2001-2002
8,16,644,0.5796,Cropland,Permanent ice and snow,2001-2002
8,20,6481004,5832.9036,Cropland,Forest,2001-2002
9,5,428724,385.8516,Wetland,Shrubland,2001-2002
9,7,198044,178.2396,Wetland,Grassland,2001-2002
9,8,949519,854.5671,Wetland,Cropland,2001-2002
9,9,43562927,39206.6343,Wetland,Wetland,2001-2002
9,11,1532,1.3788,Wetland,Lichens and Mosses,2001-2002
9,12,1331727,1198.5543,Wetland,Bareland,2001-2002
9,13,97576,87.8184,Wetland,Built-up,2001-2002
9,15,1562283,1406.0547,Wetland,Water,2001-2002
9,16,7,0.0063,Wetland,Permanent ice and snow,2001-2002
9,20,501928,451.7352,Wetland,Forest,2001-2002
11,5,36864,33.1776,Lichens and Mosses,Shrubland,2001-2002
11,7,37099,33.3891,Lichens and Mosses,Grassland,2001-2002
11,8,66337,59.7033,Lichens and Mosses,Cropland,2001-2002
11,9,1093,0.9837,Lichens and Mosses,Wetland,2001-2002
11,11,950058,855.0522,Lichens and Mosses,Lichens and Mosses,2001-2002
11,12,18134,16.3206,Lichens and Mosses,Bareland,2001-2002
11,13,7171,6.4539,Lichens and Mosses,Built-up,2001-2002
11,15,1109,0.9981,Lichens and Mosses,Water,2001-2002
11,16,52,0.0468,Lichens and Mosses,Permanent ice and snow,2001-2002
11,20,8321,7.4889,Lichens and Mosses,Forest,2001-2002
12,5,476986,429.2874,Bareland,Shrubland,2001-2002
12,7,1016031,914.4279,Bareland,Grassland,2001-2002
12,8,1569481,1412.5329,Bareland,Cropland,2001-2002
12,9,2088440,1879.596,Bareland,Wetland,2001-2002
12,11,5205,4.6845,Bareland,Lichens and Mosses,2001-2002
12,12,1207775545,1086997.9905,Bareland,Bareland,2001-2002
12,13,378986,341.0874,Bareland,Built-up,2001-2002
12,15,71436,64.2924,Bareland,Water,2001-2002
12,16,6174,5.5566,Bareland,Permanent ice and snow,2001-2002
12,20,78905,71.0145,Bareland,Forest,2001-2002
13,5,851544,766.3896,Built-up,Shrubland,2001-2002
13,7,715618,644.0562,Built-up,Grassland,2001-2002
13,8,5509832,4958.8488,Built-up,Cropland,2001-2002
13,9,74209,66.7881,Built-up,Wetland,2001-2002
13,11,7711,6.9399,Built-up,Lichens and Mosses,2001-2002
13,12,260337,234.3033,Built-up,Bareland,2001-2002
13,13,107580281,96822.2529,Built-up,Built-up,2001-2002
13,15,19582,17.6238,Built-up,Water,2001-2002
13,16,831,0.7479,Built-up,Permanent ice and snow,2001-2002
13,20,610851,549.7659,Built-up,Forest,2001-2002
15,5,40037,36.0333,Water,Shrubland,2001-2002
15,7,4309,3.8781,Water,Grassland,2001-2002
15,8,59435,53.4915,Water,Cropland,2001-2002
15,9,1278141,1150.3269,Water,Wetland,2001-2002
15,11,2619,2.3571,Water,Lichens and Mosses,2001-2002
15,12,55610,50.049,Water,Bareland,2001-2002
15,13,31895,28.7055,Water,Built-up,2001-2002
15,15,3926029597,3533426.6373,Water,Water,2001-2002
