From,To,Count,Area_km2,Period
15,12,27,2.4299999999999997,2003-2004
15,13,109,9.81,2003-2004
15,15,39428399,3548555.9099999997,2003-2004
15,20,40,3.5999999999999996,2003-2004
16,16,22194,1997.46,2003-2004
20,5,2825,254.25,2003-2004
20,7,11257,1013.13,2003-2004
20,8,32334,2910.06,2003-2004
20,9,133,11.969999999999999,2003-2004
20,12,253,22.77,2003-2004
20,13,2015,181.35,2003-2004
20,15,6,0.54,2003-2004
20,20,10906353,981571.77,2003-2004
5,5,2446598,220193.81999999998,2004-2005
5,7,112,10.08,2004-2005
5,8,10566,950.9399999999999,2004-2005
5,12,2355,211.95,2004-2005
5,13,532,47.879999999999995,2004-2005
5,15,2,0.18,2004-2005
5,20,1778,160.01999999999998,2004-2005
7,5,244,21.96,2004-2005
7,7,4726454,425380.86,2004-2005
7,8,4286,385.74,2004-2005
7,12,178,16.02,2004-2005
7,13,522,46.98,2004-2005
7,15,3,0.27,2004-2005
7,20,1014,91.25999999999999,2004-2005
8,5,75,6.75,2004-2005
8,7,120,10.799999999999999,2004-2005
8,8,22379599,2014163.91,2004-2005
8,9,1,0.09,2004-2005
8,12,311,27.99,2004-2005
8,13,13316,1198.44,2004-2005
8,15,7,0.63,2004-2005
8,20,26076,2346.8399999999997,2004-2005
9,8,2,0.18,2004-2005
9,9,161747,14557.23,2004-2005
9,13,68,6.12,2004-2005
9,20,20,1.7999999999999998,2004-2005
11,11,2078,187.01999999999998,2004-2005
12,5,3652,328.68,2004-2005
12,7,2687,241.82999999999998,2004-2005
12,8,1801,162.09,2004-2005
12,9,6,0.54,2004-2005
12,12,14825343,1334280.8699999999,2004-2005
12,13,5801,522.09,2004-2005
12,20,106,9.54,2004-2005
13,13,745332,67079.88,2004-2005
15,5,24,2.16,2004-2005
15,7,202,18.18,2004-2005
15,8,474,42.66,2004-2005
15,9,318,28.619999999999997,2004-2005
15,12,38,3.42,2004-2005
15,13,182,16.38,2004-2005
15,15,39427060,3548435.4,2004-2005
15,20,115,10.35,2004-2005
16,16,22194,1997.46,2004-2005
20,5,742,66.78,2004-2005
20,7,882,79.38,2004-2005
20,8,6427,578.43,2004-2005
20,9,153,13.77,2004-2005
20,12,206,18.54,2004-2005
20,13,1215,109.35,2004-2005
20,15,1,0.09,2004-2005
20,20,10945240,985071.6,2004-2005
5,5,2440687,219661.83,2005-2006
5,7,27,2.4299999999999997,2005-2006
5,8,7323,659.0699999999999,2005-2006
5,9,1,0.09,2005-2006
5,12,1334,120.06,2005-2006
5,13,448,40.32,2005-2006
5,20,1515,136.35,2005-2006
7,5,47,4.2299999999999995,2005-2006
7,7,4725692,425312.27999999997,2005-2006
7,8,1923,173.07,2005-2006
7,12,169,15.209999999999999,2005-2006
7,13,463,41.67,2005-2006
7,20,2163,194.67,2005-2006
8,5,237,21.33,2005-2006
8,7,1580,142.2,2005-2006
8,8,22358201,2012238.0899999999,2005-2006
8,9,2,0.18,2005-2006
8,12,231,20.79,2005-2006
8,13,10843,975.87,2005-2006
8,15,26,2.34,2005-2006
8,20,32035,2883.15,2005-2006
9,9,162110,14589.9,2005-2006
9,13,63,5.67,2005-2006
9,20,52,4.68,2005-2006
11,11,2078,187.01999999999998,2005-2006
12,5,4271,384.39,2005-2006
12,7,5831,524.79,2005-2006
12,8,1198,107.82,2005-2006
12,12,14813246,1333192.14,2005-2006
12,13,3779,340.11,2005-2006
12,20,106,9.54,2005-2006
13,13,766968,69027.12,2005-2006
15,5,35,3.15,2005-2006
15,7,144,12.959999999999999,2005-2006
15,8,327,29.43,2005-2006
15,9,239,21.509999999999998,2005-2006
15,12,86,7.739999999999999,2005-2006
15,13,167,15.03,2005-2006
15,15,39425935,3548334.15,2005-2006
15,20,140,12.6,2005-2006
16,16,22194,1997.46,2005-2006
20,5,1033,92.97,2005-2006
20,7,824,74.16,2005-2006
20,8,4004,360.36,2005-2006
20,9,111,9.99,2005-2006
20,12,158,14.219999999999999,2005-2006
20,13,861,77.49,2005-2006
20,15,28,2.52,2005-2006
20,20,10967330,987059.7,2005-2006
5,5,2434804,219132.36,2006-2007
5,7,72,6.4799999999999995,2006-2007
5,8,8226,740.3399999999999,2006-2007
5,12,1218,109.61999999999999,2006-2007
5,13,460,41.4,2006-2007
5,20,1530,137.7,2006-2007
7,5,50,4.5,2006-2007
7,7,4727992,425519.27999999997,2006-2007
7,8,1903,171.26999999999998,2006-2007
7,12,288,25.919999999999998,2006-2007
7,13,566,50.94,2006-2007
7,20,3299,296.90999999999997,2006-2007
8,5,540,48.6,2006-2007
8,7,676,60.839999999999996,2006-2007
8,8,22318315,2008648.3499999999,2006-2007
8,9,32,2.88,2006-2007
8,12,253,22.77,2006-2007
8,13,12610,1134.8999999999999,2006-2007
